shortdefinitions{
<ανά>γνωστος|hard to read
ἀνυμνέω|proclaim by an oracle
ἀνυπάκουστος|not suited for hearing
ἀνυπέραρτος|not ostentatious
ἀνυπέρβατος|impassable
ἀνυπέρβλητος|not to be surpassed or outdone
ἀνυπέρεκτος|unsurpassable
ἀνυπέρθετος|immediate
ἀνυπέροχος|without superiority on either side
ἀνυπήκοος|not obeying
ἀνυπαίτιος|blameless
ἀνυπαρξία|non-existence, nonentity
ἀνυπεξαιρέτως|without exception
ἀνυπερθεσία|immediateness, haste
ἀνυπερθετέω|do immediately, to be hasty
ἀνυπεύθυνος|not liable to a
ἀνυπηλιφής|not anointed with pitch.
ἀνυπηρέτατος|without attendance
ἀνυπηρεσία|unserviceableness
ἀνυποδησία|a going barefoot
ἀνυποδητέω|go barefoot
ἀνυποιστότης|intolerabilitas
ἀνυπομενετέος|not to be sustained
ἀνυπομόνητος|unbearable
ἀνυπονόητος|unsuspected
ἀνυποτίμητος|that cannot be adequately punished
ἀνυποτακτέω|to be unruly, insubordinate
ἀνυποταξία|indiscipline
ἀνυποφόρητος|insufferable
ἀνυπόγραφος|without subscription, unsigned
ἀνυπόδητος|unshod, barefoot
ἀνυπόδικος|not liable to action
ἀνυπόζωστος|without
ἀνυπόθετος|not hypothetical, unconditioned, absolute
ἀνυπόκριτος|without dissimulation
ἀνυπόλογος|subject to no claim or charge, Poxy.
ἀνυπόπαστος|with nothing spread below it
ἀνυπόπτωτος|not coming under the cognizance of
ἀνυπόστασις|unsubstantiality
ἀνυπόστατος|not to be withstood, irresistible
ἀνυπόστολος|using no concealment, frank, fearless
ἀνυπόστρεπτος|unreturning
ἀνυπόστροφος|from which none return
ἀνυπότακτος|not made subject
ἀνυπότλητος|not to be borne
ἀνυσιεργός|finishing work, industrious
ἀνυστέον|one must accomplish
ἀνυστικός|effective, practical
ἀνυστός|to be accomplished, practicable
ἀνυτής|exactor
ἀνυτικός|effective
ἀνυφάντης|one who weaves anew
ἀνυφαίνω|weave anew
ἀνυψόω|raise up, exalt
ἀνυόδρομος|swiftly-running, fleet
ἀνωγή|command, exhortation
ἀνωδίνω|to be in labour, bring forth
ἀνωδυνία|freedom from pain
ἀνωθέω|push up or forth
ἀνωιστί|unlooked for
ἀνωλόφυκτος|unbewailed
ἀνωμαλέω|suffer ups and downs of fortune
ἀνωμαλία|unevenness, irregularity
ἀνωμαλίζω|to be subject to vicissitude
ἀνωμαλοκράς|unevenly mixed
ἀνωμολογημένως|admittedly
ἀνωμολόγητος|inconsistent
ἀνωμοτί|without oath
ἀνωνυμία|namelessness
ἀνωνυμεί|without name
ἀνωνόμαστος|nameless, ineffable
ἀνωρία|untimeliness
ἀνωρύομαι|howl aloud, utter with a howl
ἀνωστικῶς|by pushing upwards
ἀνωτέρωθεν|from above, from a higher place
ἀνωτερικός|upper
ἀνωφάλακρος|bald on top
ἀνωφέλεια|uselessness
ἀνωφέλητος|unprofitable, useless
ἀνωφέρεια|motion upwards
ἀνωφελής|unprofitable, useless
ἀνωφερής|borne upwards, ascending
ἀνωφορέω|bear up, raise
ἀνόδευτος|impassable
ἀνόδυρτος|not mourning
ἀνόδων|toothless
ἀνόημα|a foolish act
ἀνόητος|not thought on, unheard of
ἀνόθευτος|pure, genuine
ἀνόλεθρος|not ruined, having escaped ruin
ἀνόμημα|transgression of the law
ἀνόμιστος|not customary
ἀνόμιχλος|without mist
ἀνόμματος|eyeless, sightless
ἀνόμοιος|unlike, dissimilar
ἀνόνητος|unprofitable
ἀνόξυντος|not to be written with the acute accent
ἀνόπιν|backwards
ἀνόργανος|without instruments
ἀνόρεκτος|without appetite for
ἀνόρμητος|impetuous
ἀνόροφος|roofless
ἀνόρυκτος|not obtained by digging
ἀνόρωσις|restoration
ἀνόρϝυμι|rouse, stir up
ἀνόσητος|without sickness
ἀνόσιος|unholy, profane
ἀνόστεος|boneless
ἀνόστητος|unreturning
ἀνόστιμος|not returning
ἀνόστρακος|with no shell
ἀνόσφιστος|not stolen
ἀνόσφραντος|that cannot be smelt
ἀνότιστος|free from moisture, dry
ἀνόφθαλμος|without eyes
ἀνόχευτος|non-copulating
ἀνύβριστος|not insulted
ἀνύδατος|without water
ἀνύδρευτος|unwatered
ἀνύλακτος|without barking
ἀνύμφευτος|unwedded
ἀνύπαρκτος|non-existent, unreal
ἀνύπεικτος|unyielding, hard
ἀνύπηνος|beardless
ἀνύποιστος|insupportable
ἀνύποπτος|without suspicion
ἀνύπουλος|without disguise
ἀνύπτιος|not passive
ἀνύσιμος|efficacious, effectual
ἀνύφαντος|not woven
ἀνύω|effect, accomplish
ἀνώγαιον|anything raised from the ground: the upper floor of a house
ἀνώδυνος|free from pain
ἀνώιστος1|@
ἀνώιστος2|@
ἀνώιστος|@
ἀνώλεθρος|indestructible
ἀνώμαλος|uneven, irregular
ἀνώμοτος|unsworn, not bound by oath
ἀνώνυμος|without name
ἀνώπιον|the part above the door
ἀνώπιστος|unseen, unnoticed
ἀνώροφος|unroofed, uncovered
ἀνώτατος|topmost
ἀνώτερος|upper, higher
ἀνώφλιον|lintel
ἀνώφοιτος|mounting upwards
ἀνώχυρος|not fortified
ἀνῖκία|non-victory
ἀξία|worth, value
ἀξίνη|axe-head
ἀξίωμα|that of which one is thought worthy, an honour
ἀξίωσις|thinking worthy
ἀξενάγητος|without a guide
ἀξενία|inhospitality
ἀξεναγώγητος|not received or guided as a guest
ἀξιάγαστος|worth admiring, admirable
ἀξιάκουστος|worth hearing
ἀξιάω|Hoffmann Inscr.
ἀξιέπαινος|praiseworthy
ἀξιέραστος|worthy of love
ἀξιακρόατος|worth listening to
ἀξιαπόλαυστος|delectable
ἀξιαφήγητος|worth telling
ἀξιελέητος|pitiable
ἀξιεπιθύμητος|worthy of desire
ἀξινοκράτημα|helve of an axe
ἀξινόπληκτος|struck by an axe, An.Par.
ἀξινῶρυξ|acisculus, ligo
ἀξιοβίωτος|worth living for
ἀξιοδάκρυτος|worthy of tears
ἀξιοεργός|fit for, capable of work
ἀξιοζήλωτος|worthy of emulation
ἀξιοζήτητος|worth inquiry
ἀξιοθάνατος|worthy of death
ἀξιοθέατος|well worth seeing
ἀξιοθαύμαστος|wonder-worthy
ἀξιοθριάμβευτος|worth being led in triumph
ἀξιοκαταφρόνητος|deserving contempt
ἀξιοκοινώνητος|worthy of our society
ἀξιομάθητος|worth being learnt
ἀξιομίμητος|worthy of imitation
ἀξιομακάριστος|worthy to be deemed happy
ἀξιομισής|worthy of hate, hateful
ἀξιομνημόνευτος|worthy of mention
ἀξιοπενθής|lamentable
ἀξιοπιστία|trustworthiness
ἀξιοπιστεύομαι|to be worthy of belief
ἀξιοπρεπής|proper, becoming
ἀξιοπροστάτευτος|worthy of command
ἀξιοσέβαστος|worthy of reverence, worshipful
ἀξιοσπούδαστος|worthy of zealous endeavours
ἀξιοστράτηγος|worthy of being general or worthy of a great commander
ἀξιοτέκμαρτος|worthy of being brought in evidence, credible
ἀξιοτίμησις|valuing, appraisement
ἀξιοτίμητος|highly prized, valuable
ἀξιοφίλητος|worth loving
ἀξιοφανής|reputable
ἀξιοχρεία|sufficiency, guarantee
ἀξιωμάτιον|petty dignity
ἀξιωματικός|dignified, honourable
ἀξιωτέον|one must think worthy
ἀξιόδοτος|deserving, honourable
ἀξιόζηλος|enviable
ἀξιόθεος1|@
ἀξιόθεος2|@
ἀξιόθεος|@
ἀξιόθρηνος|worthy of lamentation
ἀξιόκτητος|worth getting
ἀξιόληπτος|worth acceptance, precious
ἀξιόλογος|worthy of mention, remarkable
ἀξιόμαχος|a match for
ἀξιόμορφος|shapely, beautiful
ἀξιόνικος|worthy of victory, worthy of being preferred
ἀξιόπιστος|trustworthy
ἀξιόποινος|exacting due punishment
ἀξιόρατος|worth seeing
ἀξιόσκεπτος|worth considering
ἀξιόσυλος|liable to seizure
ἀξιόχρεως|Foed. Delph.Pell.
ἀξιόω|think, deem worthy
ἀξιώλεθρος|pernicious
ἀξονήλατος|whirling on the axle
ἀξουγγία|tallow, grease
ἀξουγγιασμός|treatment with
ἀξυγκρότητος|not welded together by the hammer
ἀξυλία|want of wood
ἀξυρής|not cutting, blunt
ἀξόανος|without carved images
ἀξόνιον|small bolt or pin
ἀξόνιος|belonging to the axle
ἀξύστος|not scraped
ἀοίδιμος|sung of, famous in song or story
ἀοίκητος|uninhabited
ἀοβράσσω|throw out froth
ἀοβρασμός|throwing off of scum
ἀογκέω|diminish in bulk
ἀοζέω|serve, wait on
ἀοζία|attendance
ἀοιδή|song
ἀοιδικός|musical
ἀοιδοθέτης|lyric poet
ἀοιδοκῆρυξ|herald who announces singers
ἀοιδομάχος|fighting with verses
ἀοιδοπόλος|one busied with song, poet
ἀοιδοτόκος|inspiring song
ἀοιδός|singer, minstrel, bard
ἀοινέω|abstain from wine
ἀοινία|abstinence from wine
ἀοκνία|not shrinking from
ἀολλήδην|in a body, together
ἀολλής|all together, in throngs or crowds
ἀολλίζω|gather together
ἀορασία|inability to see, blindness
ἀοργησία|a defect in the passion of anger
ἀοριστέω|to be indeterminate
ἀοριστία|indefiniteness, indeterminateness
ἀορισταίνω|to be undecided, uncertain
ἀοριστόω|to be indefinite
ἀοριστώδης|indefinite
ἀορτή|arteries
ἀορτήρ|strap to hang
ἀοσμία|want of perfume
ἀοσσέω|help
ἀοσσητήρ|assistant, helper, aider
ἀοχλησία|freedom from disturbance
ἀούματα|chaff
ἀπάγελος|not yet received into the
ἀπάγνυμαι|to be fractured at a joint
ἀπάγχω|strangle, throttle
ἀπάγω|lead away, carry off
ἀπάθεια|impassibility
ἀπάκρας|single
ἀπάλαιστος|not to be thrown in wrestling, unconquerable
ἀπάλαιστρος|not trained in the palaestra, unskilled in wrestling
ἀπάλαλκε|ward off, keep off
ἀπάλαμνος|without hands
ἀπάλαμος|helpless
ἀπάλγησις|ceasing to feel pain
ἀπάλλαξις|loss of
ἀπάνευθε|afar off, far away
ἀπάνθησις|time of blossoming
ἀπάνθισμα|inflorescence
ἀπάνθρωπος|far from man
ἀπάνουργευτος|guileless
ἀπάντημα|meeting
ἀπάντησις|escort
ἀπάντλησις|drawing off
ἀπάντομαι|entreatone not
ἀπάντοτε|always
ἀπάνωθεν|from above, from the top
ἀπάξιος|unworthy of
ἀπάπη|dandelion, Taraxacum officinale
ἀπάραυξος|not subject to increase
ἀπάρθενος|no more a maid
ἀπάρθρωσις|articulation
ἀπάριστα|after luncheon
ἀπάρκτιος|northerly
ἀπάρνησις|denial, renunciation
ἀπάροχος|niggardly
ἀπάρτησις|hanging from, appendage
ἀπάρτιον|goods to public sale
ἀπάρτισις|arrangement
ἀπάρχης|official
ἀπάρχομαι|make a beginning
ἀπάρχω|lead the way
ἀπάστραψις|lightning
ἀπάτερθε|apart, aloof
ἀπάτη|trick, fraud, deceit
ἀπάτημα|deceit, stratagem
ἀπάτησις|beguiling
ἀπάτητος|untrodden
ἀπάτμισις|evaporation
ἀπάτωρ|without father
ἀπάχεια|thinness
ἀπέδιλος|unshod
ἀπέκ|away out of
ἀπέκγονος|great-great-grandchild
ἀπέκδοσις|contract
ἀπέκδυσις|putting off
ἀπέκτασις|spreading out
ἀπέλασις|retirement
ἀπέλαστος|unapproachable
ἀπέλεθρος|immeasurable
ἀπέλευσις|dropping out
ἀπέλπιστος|desperatus
ἀπέμφασις|incongruity, absurdity
ἀπέναντι|opposite
ἀπένθητος|unlamented
ἀπέοικα|to be unlike, differ from
ἀπέπαντος|not ripened, unripe
ἀπέπειρος|unripe
ἀπέραντος|boundless, infinite
ἀπέρασις|spitting out, vomiting
ἀπέραστος|unsurpassed
ἀπέρατος1|@
ἀπέρατος2|@
ἀπέρατος|@
ἀπέρδω|bring to an end, finish
ἀπέρεισις|leaning upon, pressure, resistance
ἀπέρεισμα|prop, stay
ἀπέρευξις|belching forth
ἀπέριττος|without superfluity, plain, simple
ἀπέρρω|go away, be gone
ἀπέρχομαι|go away, depart from
ἀπέρωτος|loveless, unloving
ἀπέτηλος|leafless
ἀπέχθεια|hatred
ἀπέχθημα|object of hate
ἀπέχω|keep off or away from
ἀπήδαλος|without rudder
ἀπήθημα|that which is filtered off
ἀπήκοος|disobedient
ἀπήμαντος|unharmed, unhurt
ἀπήμιος|auerter of ill
ἀπήμων|unharmed, unhurt
ἀπήνεια|rudeness, discourtesy
ἀπήνεμος|without wind
ἀπήνη|four-wheeled wagon
ἀπήορος|hanging on high, far distant
ἀπήρινος|without scrotum
ἀπήρωτος|intact, unimpaired
ἀπήχεια|discord, enmity
ἀπήχημα|echo
ἀπήχησις|echo
ἀπήωρος|high in air
ἀπίαστος|not to be caught
ἀπίδιον|pear
ἀπίεστος|incompressible
ἀπίθανος|incredible, unlikely
ἀπίλητος|not to be pressed close
ἀπίλλω|exclude
ἀπίμελος|without fat, not fat
ἀπίσσωτος|unpitched
ἀπίσχω|keep off, hold off
ἀπίσωσις|equalization
ἀπίτευτος|unwatered
ἀπίτης|perry
ἀπίων|not fat
ἀπαέξομαι|grow out of
ἀπαίδευτος|uneducated
ἀπαίθομαι|take fire
ἀπαίρω|lift off
ἀπαίσιος|ill-omened
ἀπαίσσω|spring from
ἀπαίτημα|demand
ἀπαίτησις|demanding back
ἀπαίων|without the paean, cheerless
ἀπαβοιδῶρ|out of tune
ἀπαγής|not firm or stiff
ἀπαγγέλλω|bring tidings, report
ἀπαγγελία|report
ἀπαγγελτήρ|one who reports, messenger
ἀπαγγελτικός|reporting
ἀπαγελάζω|abgrego
ἀπαγινέω|pay
ἀπαγκυλόω|make crooked
ἀπαγκωνίζομαι|bare the elbows
ἀπαγλαίζω|deprive of ornament
ἀπαγοράζω|redimo
ἀπαγορευτέον|one must give up
ἀπαγορευτικός|prohibitory
ἀπαγορεύω|forbid
ἀπαγρίωσις|reversion to wild state
ἀπαγρεύω|carry off, take away
ἀπαγριόομαι|become wild or savage
ἀπαγχονίζω|hang by a noose, strangle
ἀπαγωγή|leading away
ἀπαγωγός|leading away, diverting
ἀπαγόρευμα|prohibition, interdict
ἀπαγόρευσις|prohibition
ἀπαδικέω|with hold wrong fully
ἀπαείρω|depart
ἀπαθέω|to be free from
ἀπαθής|not suffering or having suffered
ἀπαθανάτισις|immortalization, deification
ἀπαθανατίζω|aim at immortality
ἀπαθηναῖοι|degenerate Athenians
ἀπαιγειρόομαι|to be changed into a poplar
ἀπαιδία|childlessness
ἀπαιδαγώγητος|without teacher or guide
ἀπαιδευσία|want of education
ἀπαιδευτέω|to be
ἀπαιδοτρίβητος|not taught by a
ἀπαιθαλόω|burn to cinders or ashes
ἀπαιθριάζω|expose to the air, air
ἀπαιθύσσομαι|flare, stream
ἀπαιολάω|perplex, confound
ἀπαισχύνομαι|shrink back or refuse through shame
ἀπαιτέω|demand back, demand to have returned
ἀπαιτήσιμον|list of lands subject to dues
ἀπαιτίζω|demand back
ἀπαιτητέον|onemustdemand or require
ἀπαιτητής|tax-gatherer
ἀπαιτητικός|requiring
ἀπαιωρέομαι|hang down from, hover about
ἀπαιόλη|loss by fraud
ἀπαιώρημα|holder
ἀπακμάζω|go out of bloom, fade away
ἀπακμή|decline
ἀπακονάω|sharpen
ἀπακοντίζω|shoot away like a javelin, shoot off
ἀπακριβόομαι|to be highly wrought or finished
ἀπακτέον|one must lead away
ἀπακταίνω|to be unequal to violent exercise
ἀπακτός|that may be dragged to prison
ἀπαλάομαι|go astray, wander
ἀπαλέξησις|defence
ἀπαλέξω|ward off from
ἀπαλαίωτος|not growing old or decaying
ἀπαλαστέω|complain of grievous usage
ἀπαλγέω|put away sorrow for
ἀπαλείφω|wipe off, expunge
ἀπαλειπτέον|one must expunge
ἀπαλεξητικός|helping, defending
ἀπαλεύομαι|keep aloof from
ἀπαληθεύω|speak the whole truth
ἀπαλθαίνομαι|heal thoroughly
ἀπαλλάσσω|set free, deliver from
ἀπαλλαγή|deliverance, release, relief from
ἀπαλλακτέον|one must release from
ἀπαλλακτής|liberator from
ἀπαλλακτικός|fit for ridding, removing
ἀπαλλαξίκακος|Cultes Égyptiens
ἀπαλλαξείω|wish to be delivered from or get rid of
ἀπαλλητός|marvellous
ἀπαλλοιόω|differentiate
ἀπαλλοτρίωσις|alienation
ἀπαλλοτριόω|estrange, alienate
ἀπαλλότριος|given over to strangers
ἀπαλοάω|thresh out
ἀπαλοιφή|effacing, expunging
ἀπαμάω1|@
ἀπαμάω2|@
ἀπαμάω|@
ἀπαμέλγω|suck out
ἀπαμέργομαι|take or carry off for oneself
ἀπαμήτωρ|shearing off
ἀπαμαλδύνω|bring to naught, plunge into obscurity
ἀπαμαυρόω|remove darkness
ἀπαμβλίσκω|make abortive
ἀπαμβλύνω|blunt or dull the edge of
ἀπαμβρακόομαι|to be patient, endure
ἀπαμείβομαι|reply, answer
ἀπαμείρω|deprive one of share in
ἀπαμελέομαι|to be neglected utterly
ἀπαμεύς|harvester
ἀπαμοιβή|alternation
ἀπαμπίσχω|take off
ἀπαμπαίομαι|beat off
ἀπαμπλακεῖν|fail utterly
ἀπαμφίζω|strip from
ἀπαμφιάζω|take off
ἀπαμφιέννυμι|strip off garments
ἀπαμύνω|keep off, ward off
ἀπανάγνωσμα|fault in reading, faulty reading
ἀπανάλωσις|consumption
ἀπανάστασις|migration
ἀπανίστημι|make rise up and depart, send away
ἀπαναίνομαι|disown, reject
ἀπαναγιγνώσκω|read amiss
ἀπαναγκάζω|force away
ἀπαναισιμόω|use up, consume
ἀπαναισχυντέω|behave with effrontery
ἀπαναλίσκω|use quite up, utterly consume
ἀπαναπαύομαι|take one's rest
ἀπανατἑλλω|make to rise, raise up from
ἀπαναχωρέω|pass away
ἀπανδρίζομαι|stand manfully
ἀπανδρόομαι|become a man, come to maturity
ἀπανδόκευτος|without an inn to rest at
ἀπανεμία|shelter from wind
ἀπανεμόομαι|to be blown down
ἀπανθέω|finish blooming
ἀπανθίζω|pluck off flowers
ἀπανθισμός|plucking of flowers
ἀπανθράκισμα|broil
ἀπανθρακίζω|broil on the coals, roast
ἀπανθρακίς|cake baked on coals
ἀπανθρακόω|burn to a cinder
ἀπανθρωπέομαι|shun like a misanthrope
ἀπανθρωπία|dislike of men
ἀπανθρωπίζομαι|become a man
ἀπαντάω|move from
ἀπαντίον|right opposite
ἀπαντητέον|one must
ἀπαντητήριον|hostelry, inn
ἀπαντητής|deversorianus
ἀπαντητικός|combative
ἀπαντιάζω|meet
ἀπαντικρύ|right opposite
ἀπαντλέω|draw off from
ἀπαντλητέον|one must draw off
ἀπανύω|finish entirely
ἀπαξάπας|all together, the whole
ἀπαξία|disvalue
ἀπαξίωσις|rejection, contempt
ἀπαξαπλῶς|in general
ἀπαξιόω|disclaim as unworthy, disown
ἀπαράβατος|unalterable
ἀπαράβλαστος|not branching laterally
ἀπαράβλητος|incomparable
ἀπαράβολος|without deposit made
ἀπαράγγελτος|without formal declaration
ἀπαράγραφος|incapable of definition
ἀπαράγωγος|not to be turned aside
ἀπαράδεικτος|not returned, unregistered
ἀπαράδεκτος|inadmissible
ἀπαράθετος|not padded out with quotations
ἀπαράθραυστος|unshaken, not to be shaken
ἀπαράκλητος|unsummoned, volunteering
ἀπαράλειπτος|unintermittent
ἀπαράλεκτος|with disordered hair
ἀπαράλλακτος|precisely similar, indistinguishable
ἀπαράλογος|not without reason or method
ἀπαράλυτος|irrevocable
ἀπαράμονος|not abiding, transient
ἀπαράμυθος|inexorable
ἀπαράομαι|propitiate
ἀπαράπειστος|not to be seduced
ἀπαράσημος|not counterfeit
ἀπαράσκευος|without preparation, unprepared
ἀπαράσσω|strike off
ἀπαράστατος|not having appeared in person
ἀπαράτατος|unextended
ἀπαράτιλτος|with hairs not pulled out
ἀπαράτρεπτος|not turned
ἀπαράφθορος|free from damage
ἀπαράχυτος|without anything poured in, unmixed
ἀπαρέγκλιτος|direct
ἀπαρέμφατος|not determinative or indicative
ἀπαρέσκω|to be disagreeable to
ἀπαρήγορος|unconsoling
ἀπαρίθμησις|counting over
ἀπαρίνη|cleavers, Galium Aparine
ἀπαραίτητος|not to be moved by prayer, inexorable
ἀπαραγνώστως|without reading
ἀπαραδίσκευτος|not defeated in discus-throwing
ἀπαραδειγμάτιστος|not liable to censure
ἀπαρακάλυπτος|undisguised
ἀπαρακολούθητος|not to be reached or attained
ἀπαρακόντιστος|not defeated in javelin-throwing
ἀπαραλήκτως|unceasingly
ἀπαραλλαξία|indistinguishability
ἀπαραλόγιστος|not to be deceived
ἀπαραμίλλητος|unrivalled
ἀπαραμιγής|unmixed
ἀπαραμύθητος|not to be persuaded or entreated, inexorable
ἀπαραπόδιστος|free from embarrassment or interference
ἀπαρασήμαντος|unnoticed
ἀπαρασκευασία|want of preparation
ἀπαρασχημάτιστος|not parallel in formation
ἀπαρατήρητος|not observed
ἀπαραφύλακτος|not to be guarded against
ἀπαραχάρακτος|not counterfeit
ἀπαραχώρητος|not giving ground, staunch
ἀπαργία|hawk's-beard, Crepis Columnae
ἀπαργυρίζω|appraise at cash value
ἀπαργυρισμός|selling for ready money
ἀπαρεγχείρητος|not to be tampered with, inviolable
ἀπαρενφύμητος|not considering, carelessly
ἀπαρενόχλητος|undisturbed
ἀπαρεστός|unpleasing
ἀπαρηγόρητος|unconsoled
ἀπαρθένευτος|unmaidenly, unfitting a maiden
ἀπαρθρόομαι|to be jointed
ἀπαριθμέω|count over, take an inventory of
ἀπαρινής|of the
ἀπαριστάω|finish luncheon
ἀπαρκέω|suffice, be sufficient
ἀπαρκής|sufficient
ἀπαρκούντως|sufficiently
ἀπαρκτέον|one must offer as first-fruits, sacrifice
ἀπαρκτίας|north wind
ἀπαρνέομαι|deny utterly
ἀπαρνητής|one who denies
ἀπαρνητικός|denying
ἀπαρουσιάστως|without bodily presence
ἀπαρρενόω|produce male plants
ἀπαρρησίαστος|deprived of freedom of speech
ἀπαρτάω|hang up
ἀπαρτής|raised up
ἀπαρτί|completely
ἀπαρτία|household utensils, movables, chattels
ἀπαρτίζω|make even
ἀπαρτιζόντως|adequately, precisely
ἀπαρτιλογία|an even number or sum
ἀπαρτισμός|completion
ἀπαρυστέον|one must draw off
ἀπαρχή|beginning of a sacrifice, primal offering
ἀπαρχαίζω|compare to something ancient
ἀπαρχαιόομαι|to be or become ancient
ἀπαρόδευτος|inaccessible
ἀπαρόξυντος|without paroxysms
ἀπαρόρμητος|not excitable
ἀπαρόω|plough up
ἀπαρύω|draw off
ἀπαρῳδήτως|without alteration
ἀπασβολόομαι|turn to soot, become sooty
ἀπασκαρίζω|struggle, be convulsed
ἀπασπάζομαι|take leave of
ἀπασπαίρω|gasp away
ἀπαστί|fasting
ἀπαστία|abstaining from food, fast
ἀπαστράπτω|flash forth
ἀπασφαλίζω|make secure, fasten or shut up
ἀπασχολέω|leave
ἀπασχολία|detention by business
ἀπασχολητέον|one must be engrossed
ἀπατάω|cheat, deceive
ἀπατήλιος|guileful, wily
ἀπατήνωρ|beguiling men
ἀπαταγί|noiselessly
ἀπατεών|cheat, rogue
ἀπατηλός|deceptive
ἀπατητής|deceiver
ἀπατητικός|fallacious
ἀπατιμάω|dishonour greatly
ἀπατμίζω|evaporate
ἀπατουρεών|month
ἀπατούρια1|the Apaturia
ἀπατούρια|the Apaturia
ἀπατρία|exile
ἀπαυαίνω|make to wither away
ἀπαυγάζω|flash forth
ἀπαυγής|bright
ἀπαυγασμός|efflux of light, radiance, effulgence
ἀπαυδάω|forbid
ἀπαυθαδίζομαι|speak or act boldly
ἀπαυθαδιάζοντες|reject boldly
ἀπαυθημερίζω|do on the same day
ἀπαυλίζομαι|sleep or live away from
ἀπαυλισμός|a moon-stroke or fit caused by sleeping in the moonlight
ἀπαυλιστήριος|belonging to the
ἀπαυλόσυνος|away from the
ἀπαυξάνομαι|in 'irrational' proportion to the
ἀπαυρίσκομαι|derive nourishment
ἀπαυστί|unceasing, incessant
ἀπαυτίκα|on the spot
ἀπαυτοματίζω|do
ἀπαυτομολέω|go of one's own accord, desert
ἀπαυχενίζω|cut off by the neck
ἀπαφίνιον|stone kneading-trough
ἀπαφίσκω|cheat, beguile
ἀπαφρίζω|skim
ἀπαχής|without thickness or solidity
ἀπαχλυόομαι|have blurred vision
ἀπαχλύω|free from darkness
ἀπαχυρίζω|winnow
ἀπαύγασμα|radiance, effulgence
ἀπαύδησις|exhaustion
ἀπαύλια|sleeping alone
ἀπαύξησις|decrease
ἀπείθεια|disobedience
ἀπείκασμα|copy, representation
ἀπείλησις|threat
ἀπείρανδρος|that has not known man
ἀπείραστος|incapable of being tempted
ἀπείρατος2|@
ἀπείργαθον|keep away
ἀπείργω|keep away from, debar from
ἀπείρητος|without trial
ἀπείριτος|boundless, immense
ἀπείρων1|@
ἀπείρων2|@
ἀπείρων|@
ἀπεγγυαλίζω|give up, deliver again
ἀπεγνωσμένως|desperately
ἀπεδίζω|level
ἀπεθίζω|disaccustom
ἀπεθιστέον|one must disuse, unteach
ἀπειδοποιέω|construct according to a pattern, Inscr.Milet.
ἀπειθέω|to be disobedient, refuse compliance
ἀπειθήνιος|disobedient
ἀπειθής|disobedient
ἀπειθαρχία|disobedience to command
ἀπεικάζω|form from a model, represent, express, copy
ἀπεικασία|representation
ἀπεικασμός|representation
ἀπεικαστέον|one must represent as like
ἀπεικονίζω|represent in a statue
ἀπεικόνισμα|inPh.
ἀπειλέω1|@
ἀπειλέω2|@
ἀπειλέω|@
ἀπειλή|boastful promises, boasts
ἀπειλητήρ|threatener, boaster
ἀπειλητήριος|of or for threatening
ἀπειράγαθος|unacquainted with goodness, foolish
ἀπειράκις|times without number
ἀπειρέσιος|boundless, immense
ἀπειρία1|@
ἀπειρία2|@
ἀπειρία|@
ἀπειραγαθέω|act without right knowledge
ἀπειραγαθία|ignorance of goodness, folly
ἀπειραχῶς|in an infinite number of ways
ἀπειραῖος|Apeiraean
ἀπειρκτικός|keeping out
ἀπειροβίως|without experience of life
ἀπειροδιοικήτης|director of the infinite
ἀπειροδύναμος|of infinite potentiality
ἀπειροειδής|resembling the infinite
ἀπειροθάλαττος|unused to the sea
ἀπειροκαλία|ignorance of the beautiful, want of taste
ἀπειροκαλεύομαι|lack taste
ἀπειρολογία|interminable argument
ἀπειρομάχας|unused to battle, untried in war
ἀπειρομείζων|infinitely greater
ἀπειρομεγέθης|immensely large
ἀπειροπλασίων|infinitely more, many thousand-fold
ἀπειροπληθής|infinitely great or numerous
ἀπειροποιός|producing infinitude
ἀπειροπόλεμος|inexperienced in war
ἀπειροτέρμων|limitless
ἀπειροχρόνιος|of infinite duration
ἀπειρωδίν|knowing not the pains of child-birth
ἀπειρόγαμος|unwedded
ἀπειρόγονος|infinitely generative
ἀπειρόγωνος|with an infinite number of angles
ἀπειρόδακρυς|ignorant of tears
ἀπειρόδροσος|unbedewed, parched
ἀπειρόκακος|without experience of evil
ἀπειρόκαλος|ignorant of the beautiful, tasteless, vulgar
ἀπειρόμοθος|unused to toil
ἀπειρόπλους|ignorant of navigation
ἀπειρόπονος|unused to toil
ἀπειρότοκος|not having brought forth
ἀπειρόω|multiply to infinity
ἀπεκβάλλω|turn out
ἀπεκβαίνω|turn out, come to be
ἀπεκβιόω|cease living
ἀπεκβολή|expulsion
ἀπεκδέχομαι|expect anxiously, await eagerly
ἀπεκδίδωμι|relet
ἀπεκδύομαι|strip off oneself
ἀπεκεῖθεν|thence
ἀπεκλέγομαι|pick out and reject
ἀπεκλανθάνομαι|forget entirely
ἀπεκλεκτικός|fit for rejection
ἀπεκλογή|rejection
ἀπεκλύω|relax, weaken
ἀπεκρίπτω|throw away
ἀπεκτείνω|draw off
ἀπελάτης|driver away, cattle-lifter
ἀπελέγχω|conuict, expose, refute
ἀπελέκητος|unhewn, unwrought
ἀπελίσσω|unroll, unwind
ἀπελασία|driving away
ἀπελατέος|to be driven away
